time,ghi_wh_m2,temp_c
2021-01-01 00:00:00,0.0,23.35
2021-01-01 01:00:00,0.0,22.7
2021-01-01 02:00:00,0.0,22.03
2021-01-01 03:00:00,0.0,21.4
2021-01-01 04:00:00,0.0,20.78
2021-01-01 05:00:00,0.0,20.21
2021-01-01 06:00:00,19.2,19.97
2021-01-01 07:00:00,206.7,21.93
2021-01-01 08:00:00,445.25,25.84
2021-01-01 09:00:00,655.85,30.02
2021-01-01 10:00:00,805.7,32.84
2021-01-01 11:00:00,875.67,34.75
2021-01-01 12:00:00,881.45,36.02
2021-01-01 13:00:00,798.97,36.64
2021-01-01 14:00:00,598.47,36.68
2021-01-01 15:00:00,407.77,36.19
2021-01-01 16:00:00,216.25,35.06
2021-01-01 17:00:00,33.92,31.06
2021-01-01 18:00:00,0.0,28.33
2021-01-01 19:00:00,0.0,27.4
2021-01-01 20:00:00,0.0,26.61
2021-01-01 21:00:00,0.0,25.88
2021-01-01 22:00:00,0.0,25.07
2021-01-01 23:00:00,0.0,24.23
2021-01-02 00:00:00,0.0,23.46
2021-01-02 01:00:00,0.0,22.73
2021-01-02 02:00:00,0.0,22.02
2021-01-02 03:00:00,0.0,21.39
2021-01-02 04:00:00,0.0,20.8
2021-01-02 05:00:00,0.0,20.26
2021-01-02 06:00:00,16.12,20.24
2021-01-02 07:00:00,156.27,23.02
2021-01-02 08:00:00,360.45,26.62
2021-01-02 09:00:00,538.67,30.88
2021-01-02 10:00:00,766.1,34.29
2021-01-02 11:00:00,845.17,36.14
2021-01-02 12:00:00,863.15,37.32
2021-01-02 13:00:00,797.0,37.86
2021-01-02 14:00:00,660.05,37.84
2021-01-02 15:00:00,452.45,37.28
2021-01-02 16:00:00,230.55,36.09
2021-01-02 17:00:00,35.22,31.6
2021-01-02 18:00:00,0.0,28.88
2021-01-02 19:00:00,0.0,27.85
2021-01-02 20:00:00,0.0,26.95
2021-01-02 21:00:00,0.0,26.03
2021-01-02 22:00:00,0.0,25.0
2021-01-02 23:00:00,0.0,23.92
2021-01-03 00:00:00,0.0,22.91
2021-01-03 01:00:00,0.0,22.05
2021-01-03 02:00:00,0.0,21.29
2021-01-03 03:00:00,0.0,20.64
2021-01-03 04:00:00,0.0,20.05
2021-01-03 05:00:00,0.0,19.49
2021-01-03 06:00:00,16.88,19.47
2021-01-03 07:00:00,181.88,22.09
2021-01-03 08:00:00,403.58,25.74
2021-01-03 09:00:00,618.0,30.18
2021-01-03 10:00:00,739.65,34.12
2021-01-03 11:00:00,870.95,36.05
2021-01-03 12:00:00,892.22,37.18
2021-01-03 13:00:00,819.42,37.69
2021-01-03 14:00:00,680.0,37.72
2021-01-03 15:00:00,467.02,37.26
2021-01-03 16:00:00,235.15,36.16
2021-01-03 17:00:00,36.42,32.05
2021-01-03 18:00:00,0.0,29.29
