-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,
Dates (month/day/year): 01/01/2021 through 12/31/2025 in LST,,,,,
Location: Latitude  10.6032   Longitude 14.3226 ,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 417.72 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
Parameter(s): ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2021,1,1,0,0,23.35
2021,1,1,1,0,22.7
2021,1,1,2,0,22.03
2021,1,1,3,0,21.4
2021,1,1,4,0,20.78
2021,1,1,5,0,20.21
2021,1,1,6,19.2,19.97
2021,1,1,7,206.7,21.93
2021,1,1,8,445.25,25.84
2021,1,1,9,655.85,30.02
2021,1,1,10,805.7,32.84
2021,1,1,11,875.67,34.75
2021,1,1,12,881.45,36.02
2021,1,1,13,798.97,36.64
2021,1,1,14,598.47,36.68
2021,1,1,15,407.77,36.19
2021,1,1,16,216.25,35.06
2021,1,1,17,33.92,31.06
2021,1,1,18,0,28.33
2021,1,1,19,0,27.4
2021,1,1,20,0,26.61
2021,1,1,21,0,25.88
2021,1,1,22,0,25.07
2021,1,1,23,0,24.23
2021,1,2,0,0,23.46
2021,1,2,1,0,22.73
2021,1,2,2,0,22.02
2021,1,2,3,0,21.39
2021,1,2,4,0,20.8
2021,1,2,5,0,20.26
2021,1,2,6,16.12,20.24
2021,1,2,7,156.27,23.02
2021,1,2,8,360.45,26.62
2021,1,2,9,538.67,30.88
2021,1,2,10,766.1,34.29
2021,1,2,11,845.17,36.14
2021,1,2,12,863.15,37.32
2021,1,2,13,797,37.86
2021,1,2,14,660.05,37.84
2021,1,2,15,452.45,37.28
2021,1,2,16,230.55,36.09
2021,1,2,17,35.22,31.6
2021,1,2,18,0,28.88
2021,1,2,19,0,27.85
2021,1,2,20,0,26.95
2021,1,2,21,0,26.03
2021,1,2,22,0,25
2021,1,2,23,0,23.92
2021,1,3,0,0,22.91
2021,1,3,1,0,22.05
2021,1,3,2,0,21.29
2021,1,3,3,0,20.64
2021,1,3,4,0,20.05
2021,1,3,5,0,19.49
2021,1,3,6,16.88,19.47
2021,1,3,7,181.88,22.09
2021,1,3,8,403.58,25.74
2021,1,3,9,618,30.18
2021,1,3,10,739.65,34.12
2021,1,3,11,870.95,36.05
2021,1,3,12,892.22,37.18
2021,1,3,13,819.42,37.69
2021,1,3,14,680,37.72
2021,1,3,15,467.02,37.26
2021,1,3,16,235.15,36.16
2021,1,3,17,36.42,32.05
2021,1,3,18,0,29.29
2021,1,3,19,0,28.36
2021,1,3,20,0,27.42
2021,1,3,21,0,26.33
2021,1,3,22,0,25.2
2021,1,3,23,0,24.19
2021,1,4,0,0,23.41
2021,1,4,1,0,22.85
2021,1,4,2,0,22.18
2021,1,4,3,0,21.57
2021,1,4,4,0,20.97
2021,1,4,5,0,20.34
2021,1,4,6,16.15,20.18
2021,1,4,7,180.4,22.61
2021,1,4,8,404.45,26.5
2021,1,4,9,613.55,31.59
2021,1,4,10,790.28,35.18
2021,1,4,11,884.75,36.92
2021,1,4,12,914.85,37.98
2021,1,4,13,847.97,38.44
2021,1,4,14,707.08,38.31
2021,1,4,15,506.88,37.65
2021,1,4,16,268.88,36.31
2021,1,4,17,45.05,31.68
2021,1,4,18,0,28.75
2021,1,4,19,0,27.82
2021,1,4,20,0,26.9
2021,1,4,21,0,25.94
2021,1,4,22,0,24.96
2021,1,4,23,0,23.95
2021,1,5,0,0,22.89
2021,1,5,1,0,21.79
2021,1,5,2,0,20.74
2021,1,5,3,0,19.8
2021,1,5,4,0,19.03
2021,1,5,5,0,18.41
2021,1,5,6,17.73,18.45
2021,1,5,7,207.1,21.36
2021,1,5,8,450.27,25.25
2021,1,5,9,665.1,30.49
2021,1,5,10,824.15,34.66
2021,1,5,11,913.35,36.69
2021,1,5,12,938.25,37.77
2021,1,5,13,869.4,38.2
2021,1,5,14,728.75,38.12
2021,1,5,15,527.55,37.45
2021,1,5,16,285.83,36.1
2021,1,5,17,51.17,30.96
2021,1,5,18,0,27.93
2021,1,5,19,0,27
2021,1,5,20,0,26.13
2021,1,5,21,0,25.19
2021,1,5,22,0,24.28
2021,1,5,23,0,23.34
2021,1,6,0,0,22.4
2021,1,6,1,0,21.52
2021,1,6,2,0,20.74
2021,1,6,3,0,20.01
2021,1,6,4,0,19.32
2021,1,6,5,0,18.69
